symbol,name,price,marketCap,volume,industry
TXNM,TXNM Energy Inc. Common Stock,56.72,6279315617.0,1392095,Utilities
CWST,Casella Waste Systems Inc. Class A Common Stock,95.36,6065843974.0,557521,Utilities
POR,Portland General Electric Co Common Stock,51.46,5955466366.0,1061257,Utilities
NJR,NewJersey Resources Corporation Common Stock,56.2,5671792403.0,946133,Utilities
BKH,Black Hills Corporation Common Stock,73.64,5606074610.0,601839,Utilities
OGS,ONE Gas Inc. Common Stock,76.3,4788781268.0,611922,Utilities
SR,Spire Inc. Common Stock,78.0,4611109776.0,889745,Utilities
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,21.45,4586671647.0,5400,Utilities
NWE,NorthWestern Energy Group Inc. Common Stock,71.45,4394747743.0,506077,Utilities
EE,Excelerate Energy Inc. Class A Common Stock,37.98,4324373100.0,282307,Utilities
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,20.54,4272901549.0,43876,Utilities
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,20.03,4271148167.0,15302,Utilities
AQN,Algonquin Power & Utilities Corp. Common Shares,5.45,4193544509.0,5693801,Utilities
CWEN,Clearway Energy Inc. Class C Common Stock,33.52,4055920000.0,1687605,Utilities
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,26.1,3783778544.0,193315,Utilities
OTTR,Otter Tail Corporation Common Stock,89.66,3764298889.0,279379,Utilities
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,17.0454,3545925806.0,15436,Utilities
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,16.65,3463671411.0,12610,Utilities
AVA,Avista Corporation Common Stock,40.54,3350161952.0,651315,Utilities
AWR,American States Water Company Common Stock,83.34,3266315701.0,416767,Utilities
CPK,Chesapeake Utilities Corporation Common Stock,122.76,2946824460.0,180695,Utilities
CWT,California Water Service Group Common Stock,49.04,2935203968.0,658402,Utilities
CTRI,Centuri Holdings Inc. Common Stock,28.49,2875628520.0,1270180,Utilities
HTO,H2O America Common Stock,60.74,2541376603.0,702185,Utilities
HE,Hawaiian Electric Industries Inc. Common Stock,13.41,2315043718.0,1655028,Utilities
NWN,Northwest Natural Holding Company Common Stock,48.73,2050575553.0,284815,Utilities
NEXT,NextDecade Corporation Common Stock,7.57,2005996912.0,1877878,Utilities
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,15.72,1962080623.0,117240,Utilities
CDZIP,Cadiz Inc. Depositary Shares,22.85,1921371635.0,5295,Utilities
XIFR,XPLR Infrastructure LP Common Units representing limited partner interests,12.03,1134101724.0,1453802,Utilities
ADTN,ADTRAN Holdings Inc. Common Stock,13.64,1104814084.0,1295945,Utilities
NNE,Nano Nuclear Energy Inc. Common Stock,20.75,1080728351.0,2259923,Utilities
MSEX,Middlesex Water Company Common Stock,56.57,1053578292.0,194532,Utilities
UTL,UNITIL Corporation Common Stock,52.45,943618037.0,160336,Utilities
HNRG,Hallador Energy Company Common Stock,16.79,791319282.0,1314635,Utilities
NTGR,NETGEAR Inc. Common Stock,23.2,622685750.0,257717,Utilities
FISN,Deep Fission Inc. Common Stock,10.49,617820330.0,238871,Utilities
SMC,Summit Midstream Corporation Common Stock,29.5,599993214.0,68960,Utilities
CLFD,Clearfield Inc. Common Stock,38.5,523194210.0,112402,Utilities
YORW,York Water Company (The) Common Stock,30.92,501192762.0,97923,Utilities
CLNE,Clean Energy Fuels Corp. Common Stock,2.07,455864992.0,1740006,Utilities
GNE,Genie Energy Ltd. Class B Common Stock Stock,14.58,384965961.0,61556,Utilities
OPAL,OPAL Fuels Inc. Class A Common Stock,2.2,384464478.0,159913,Utilities
ARTNA,Artesian Resources Corporation Class A Common Stock,33.94,350411426.0,36331,Utilities
CDZI,CADIZ Inc. Common Stock,4.08,343072047.0,728202,Utilities
PCYO,Pure Cycle Corporation Common Stock,11.0,265142988.0,77740,Utilities
RGCO,RGC Resources Inc. Common Stock,24.27,252581676.0,7178,Utilities
MNTK,Montauk Renewables Inc. Common Stock,1.63,232016057.0,128441,Utilities
GWRS,Global Water Resources Inc. Common Stock,7.26,208823983.0,139638,Utilities
GPJA,Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1 2077,21.29,197177335.0,23473,Utilities
HDRN,Hadron Energy Inc. Common Stock  ,2.12,151577545.0,85317,Utilities
NFE,New Fortress Energy Inc. Class A Common Stock,0.39,111397514.0,3210582,Utilities
SLNG,Stabilis Solutions Inc. Common Stock,4.02,74757130.0,6446,Utilities
OPTT,Ocean Power Technologies Inc. Common Stock,0.2718,62559343.0,2538070,Utilities
FIEE,FiEE Inc Common Stock,4.2511,36255923.0,13347,Utilities
FKWL,Franklin Wireless Corp. Common Stock,2.55,30049914.0,10556,Utilities
QRHC,Quest Resource Holding Corporation Common Stock,1.24,26131156.0,17973,Utilities
HDRNW,Hadron Energy Inc. Warrant,0.163,11654311.0,62676,Utilities
AWX,Avalon Holdings Corporation Common Stock,2.52,9826566.0,1485,Utilities
SUNE,SUNation Energy Inc. Common Stock,2.38,9812992.0,97902,Utilities
CLRO,ClearOne Inc. Common Stock,3.22,8614827.0,6990,Utilities
SONM,DNA X Inc. Common Stock,5.26,7828290.0,4997,Utilities
MCGA,Yorkville Acquisition Corp. Class A Ordinary Share,10.22,0.0,75646,Utilities
XELLL,Xcel Energy Inc. 6.25% Junior Subordinated Notes Series due 2085,23.65,0.0,75663,Utilities
SRJN,Spire Inc. 6.375% Junior Subordinated Notes due 2086,23.96,0.0,3600,Utilities
TVE,Tennessee Valley Authority,23.54,0.0,3822,Utilities
TVC,Tennessee Valley Authority Common Stock,23.94,0.0,18468,Utilities
DTK,DTE Energy Company 2025 Series H 6.25% Junior Subordinated Debentures due 2085,23.8,0.0,52773,Utilities
