symbol,name,price,marketCap,volume,industry
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,263.92,19797159122.0,830073,Technology
ZS,Zscaler Inc. Common Stock,122.68,19725803444.0,2900970,Technology
LDOS,Leidos Holdings Inc. Common Stock,156.17,19695865083.0,862740,Technology
NTAP,NetApp Inc. Common Stock,98.89,19514003256.0,2098868,Technology
TWLO,Twilio Inc. Class A Common Stock,124.0,18787735876.0,1876934,Technology
MDB,MongoDB Inc. Class A Common Stock,233.6,18774321507.0,1212050,Technology
HPQ,HP Inc. Common Stock,18.99,17428734339.0,16722106,Technology
SSNC,SS&C Technologies Holdings Inc. Common Stock,70.0,16851631020.0,1852864,Technology
CDW,CDW Corporation Common Stock,130.04,16737172845.0,987480,Technology
SNX,TD SYNNEX Corporation Common Stock,204.71,16456860648.0,1039599,Technology
SMCI,Super Micro Computer Inc. Common Stock,27.2,16292512442.0,40778455,Technology
TOST,Toast Inc. Class A Common Stock,27.1,15961900000.0,8168601,Technology
PTC,PTC Inc. Common Stock,133.65,15903830903.0,1342420,Technology
IOT,Samsara Inc. Class A Common Stock,26.51,15394789033.0,5865381,Technology
AMKR,Amkor Technology Inc. Common Stock,61.32,15195785114.0,3356555,Technology
LSCC,Lattice Semiconductor Corporation Common Stock,110.81,15166501206.0,1288777,Technology
AEIS,Advanced Energy Industries Inc. Common Stock,385.73,14599226688.0,426025,Technology
LOGI,Logitech International S.A. Ordinary Shares,95.96,14066675258.0,589920,Technology
TYL,Tyler Technologies Inc. Common Stock,322.31,13683252047.0,581899,Technology
RMBS,Rambus Inc. Common Stock,121.73,13121365806.0,2133111,Technology
IONQ,IonQ Inc. Common Stock,35.76,13111073435.0,67182193,Technology
TTMI,TTM Technologies Inc. Common Stock,120.74,12538025915.0,1647255,Technology
CACI,CACI International Inc. Class A Common Stock,533.58,11784527291.0,259912,Technology
PL,Planet Labs PBC Class A Common Stock,33.93,11744836486.0,16313897,Technology
SITM,SiTime Corporation Common Stock,446.04,11730814087.0,365181,Technology
GEN,Gen Digital Inc. Common Stock,18.91,11453101966.0,5529188,Technology
OKTA,Okta Inc. Class A Common Stock,64.09,11336747562.0,4108351,Technology
AAOI,Applied Optoelectronics Inc. Common Stock,146.39,11008354821.0,10730267,Technology
JKHY,Jack Henry & Associates Inc. Common Stock,151.42,10927582863.0,933577,Technology
HUBS,HubSpot Inc. Common Stock,206.44,10887756252.0,1733832,Technology
PINS,Pinterest Inc. Class A Common Stock,18.7,10767486835.0,10949910,Technology
GWRE,Guidewire Software Inc. Common Stock,125.09,10589802922.0,2022756,Technology
GDDY,GoDaddy Inc. Class A Common Stock,79.32,10577648560.0,2635320,Technology
U,Unity Software Inc. Common Stock,23.35,10188306154.0,9185794,Technology
BSY,Bentley Systems Incorporated Class B Common Stock,33.23,10076887642.0,2308156,Technology
FORM,FormFactor Inc. FormFactor Inc. Common Stock,128.28,9999995563.0,2270176,Technology
DT,Dynatrace Inc. Common Stock,33.27,9922814563.0,5869660,Technology
TTD,The Trade Desk Inc. Class A Common Stock,21.02,9881455104.0,12531376,Technology
NTNX,Nutanix Inc. Class A Common Stock,36.83,9767761533.0,2909156,Technology
RBRK,Rubrik Inc. Class A Common Stock,48.03,9715323004.0,2662993,Technology
FIG,Figma Inc. Class A Common Stock,18.42,9610010709.0,23629610,Technology
SNAP,Snap Inc. Class A Common Stock,5.6,9458131144.0,84186030,Technology
VIAV,Viavi Solutions Inc. Common Stock,40.78,9436057489.0,5080681,Technology
AUR,Aurora Innovation Inc. Class A Common Stock,4.67,9153986895.0,17579827,Technology
TEM,Tempus AI Inc. Class A Common Stock,49.53,8885910829.0,6526631,Technology
