symbol,name,price,marketCap,volume,industry
HQY,HealthEquity Inc. Common Stock,81.08,6849509158.0,1132526,Real Estate
EPRT,Essential Properties Realty Trust Inc. Common Stock,31.63,6652656295.0,2219474,Real Estate
AMTM,Amentum Holdings Inc. Common Stock,26.67,6505751144.0,1899450,Real Estate
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,17.26,6397931329.0,2303616,Real Estate
RYN,Rayonier Inc. REIT Common Stock,20.92,6320698300.0,1944463,Real Estate
HR,Healthcare Realty Trust Incorporated Common Stock,17.68,6167666267.0,2581470,Real Estate
RHP,Ryman Hospitality Properties Inc. (REIT),93.87,5924067363.0,666599,Real Estate
WEX,WEX Inc. common stock,157.78,5413529308.0,362983,Real Estate
LYFT,Lyft Inc. Class A Common Stock,13.77,5355499908.0,13527938,Real Estate
RITM,Rithm Capital Corp. Common Stock,9.5,5280977943.0,8222608,Real Estate
ETSY,Etsy Inc. Common Stock,53.94,5191572889.0,1986976,Real Estate
MAC,Macerich Company (The) Common Stock,19.85,5094914328.0,1408480,Real Estate
KRG,Kite Realty Group Trust Common Stock,24.89,5053955593.0,1204166,Real Estate
SBRA,Sabra Health Care REIT Inc. Common Stock,20.01,5045435797.0,1539552,Real Estate
VNO,Vornado Realty Trust Common Stock,26.03,4963045533.0,1843135,Real Estate
LAUR,Laureate Education Inc. Common Stock,34.3,4896106509.0,1175465,Real Estate
OUT,OUTFRONT Media Inc. Common Stock,27.49,4839619146.0,862403,Real Estate
EXLS,ExlService Holdings Inc. Common Stock,30.76,4810362858.0,1883695,Real Estate
PECO,Phillips Edison & Company Inc. Common Stock,37.89,4772867805.0,823083,Real Estate
GHC,Graham Holdings Company Common Stock,1074.07,4684916118.0,21123,Real Estate
LOPE,Grand Canyon Education Inc. Common Stock,171.3,4649673670.0,361734,Real Estate
REGCP,Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock,23.2796,4262107597.0,5570,Real Estate
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,17.53,4231993678.0,9971,Real Estate
RCB,Ready Capital Corporation 6.20% Senior Notes due 2026,25.29,4155836709.0,10468,Real Estate
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,17.0,4104044069.0,6905,Real Estate
NHI,National Health Investors Inc. Common Stock,84.36,4088032369.0,268199,Real Estate
REGCO,Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock,21.92,4013187448.0,1687,Real Estate
SKT,Tanger Inc. Common Stock,34.96,4004108780.0,1162065,Real Estate
EPR,EPR Properties Common Stock,52.31,4001901224.0,915594,Real Estate
CVSA,Covista Inc. Common Shares,114.94,3966409634.0,315858,Real Estate
HHH,Howard Hughes Holdings Inc. Common Stock,63.64,3795256869.0,389814,Real Estate
LRN,Stride Inc. Common Stock,88.95,3787516796.0,368011,Real Estate
JOE,St. Joe Company (The) Common Stock,65.12,3747119476.0,193981,Real Estate
CUZ,Cousins Properties Incorporated Common Stock,22.21,3690188124.0,1796893,Real Estate
BNL,Broadstone Net Lease Inc. Common Stock,18.87,3615272466.0,8476503,Real Estate
IRT,Independence Realty Trust Inc. Common Stock,15.15,3570056731.0,3250529,Real Estate
MMS,Maximus Inc. Common Stock,65.15,3553839726.0,960688,Real Estate
CDP,COPT Defense Properties Common Shares of Beneficial Interest,31.31,3549892044.0,805238,Real Estate
RELY,Remitly Global Inc. Common Stock,16.02,3374683264.0,1851335,Real Estate
KRC,Kilroy Realty Corporation Common Stock,28.4,3365486734.0,1510409,Real Estate
FOUR,Shift4 Payments Inc. Class A Common Stock,40.27,3271507215.0,1708319,Real Estate
COLD,Americold Realty Trust Inc. Common Stock,11.42,3253325923.0,3633129,Real Estate
BFH,Bread Financial Holdings Inc. Common Stock,74.33,3204746572.0,965544,Real Estate
RWTN,Redwood Trust Inc. 9.125% Senior Notes Due 2029,24.65,3185358388.0,1470,Real Estate
RWTO,Redwood Trust Inc. 9.00% Senior Notes Due 2029,24.35,3146591348.0,3889,Real Estate
PAY,Paymentus Holdings Inc. Class A Common Stock,24.87,3126546748.0,386535,Real Estate
BXMT,Blackstone Mortgage Trust Inc. Common Stock,18.5,3121664877.0,1209583,Real Estate
FRMI,Fermi Inc. Common Stock,4.94,3111408563.0,13605159,Real Estate
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,39.03,3009699899.0,944359,Real Estate
DBRG,DigitalBridge Group Inc.,15.47,2831238863.0,2876186,Real Estate
LXP,LXP Industrial Trust Common Stock (Maryland REIT),47.59,2805788520.0,768381,Real Estate
MPT,Medical Properties Trust Inc. common stock,4.67,2791259000.0,5705657,Real Estate
WU,Western Union Company (The) Common Stock,8.81,2761206307.0,6981431,Real Estate
APLE,Apple Hospitality REIT Inc. Common Shares,11.63,2745211410.0,4766935,Real Estate
SLG,SL Green Realty Corp Common Stock,37.56,2667931233.0,1327685,Real Estate
DX,Dynex Capital Inc. Common Stock,12.69,2626158115.0,5065390,Real Estate
FCPT,Four Corners Property Trust Inc. Common Stock,23.84,2616321801.0,819693,Real Estate
AKR,Acadia Realty Trust Common Stock,19.88,2605629077.0,909474,Real Estate
MFAO,MFA Financial Inc. 9.000% Senior Notes due 2029,25.28,2595464787.0,4535,Real Estate
MFAN,MFA Financial Inc. 8.875% Senior Notes due 2029,25.1601,2583154809.0,9612,Real Estate
UNIT,Uniti Group Inc. Common Stock,10.39,2483970787.0,2348846,Real Estate
IVT,InvenTrust Properties Corp. Common Stock,31.15,2420331357.0,379897,Real Estate
HIW,Highwoods Properties Inc. Common Stock,21.56,2377186174.0,721121,Real Estate
PRDO,Perdoceo Education Corporation Common Stock,36.97,2309825450.0,659699,Real Estate
ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,24.74,2240935568.0,6230,Real Estate
PMTU,PennyMac Mortgage Investment Trust 8.50% Senior Notes due 2028,25.418,2211788040.0,2690,Real Estate
ADAMM,Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,24.405,2208026292.0,10631,Real Estate
XMTR,Xometry Inc. Class A Common Stock,42.25,2189581914.0,785958,Real Estate
ARR,ARMOUR Residential REIT Inc.,17.19,2110372741.0,2000805,Real Estate
ADAML,Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,23.13,2092671507.0,3737,Real Estate
CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,25.135,2024139044.0,870,Real Estate
GNL,Global Net Lease Inc. Common Stock,9.45,2024057709.0,1359284,Real Estate
ADAMN,Adamas Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,22.09,1998578193.0,4391,Real Estate
UTI,Universal Technical Institute Inc Common Stock,36.29,1996694163.0,581252,Real Estate
CXW,CoreCivic Inc. Common Stock,19.98,1975757904.0,676708,Real Estate
DRH,Diamondrock Hospitality Company Common Stock,9.41,1925753809.0,1786475,Real Estate
NTST,NetSTREIT Corp. Common Stock,19.57,1903252091.0,962664,Real Estate
STRA,Strategic Education Inc. Common Stock,83.58,1889986934.0,221454,Real Estate
LTC,LTC Properties Inc. Common Stock,38.82,1883148961.0,318998,Real Estate
VRE,Veris Residential Inc. Common Stock,18.9,1766363533.0,1206677,Real Estate
TNET,TriNet Group Inc. Common Stock,37.17,1758110744.0,279950,Real Estate
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,6.94,1680319914.0,1633839,Real Estate
SMA,SmartStop Self Storage REIT Inc. Common Stock,30.25,1674753226.0,377724,Real Estate
PAYO,Payoneer Global Inc. Common Stock,4.81,1658357971.0,2391300,Real Estate
ADAMZ,Adamas Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share,17.73,1604110066.0,3714,Real Estate
DEI,Douglas Emmett Inc. Common Stock,9.52,1594240287.0,1767781,Real Estate
TIC,TIC Solutions Inc. Common Stock,7.07,1563554481.0,2341636,Real Estate
CBZ,CBIZ Inc. Common Stock,28.2,1545753052.0,880058,Real Estate
ARI,Apollo Commercial Real Estate Finance Inc,10.48,1462997342.0,1953377,Real Estate
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,12.75,1445956896.0,2288437,Real Estate
ABR,Arbor Realty Trust Common Stock,7.35,1419397573.0,1920697,Real Estate
FLYW,Flywire Corporation Voting Common Stock,11.69,1416878244.0,1165942,Real Estate
ORC,Orchid Island Capital Inc. Common Stock,7.06,1346295348.0,3987568,Real Estate
SILA,Sila Realty Trust Inc. Common Stock,23.8,1314864082.0,276906,Real Estate
LINC,Lincoln Educational Services Corporation Common Stock,41.41,1312555461.0,396338,Real Estate
CBL,CBL & Associates Properties Inc. Common Stock,40.99,1269701649.0,184697,Real Estate
UMH,UMH Properties Inc. Common Stock,14.88,1265039880.0,580459,Real Estate
LADR,Ladder Capital Corp Class A Common Stock,9.71,1235437858.0,1431639,Real Estate
ALX,Alexander's Inc. Common Stock,231.18,1180703302.0,37405,Real Estate
AAT,American Assets Trust Inc. Common Stock,18.94,1162744328.0,394996,Real Estate
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,24.45,1157518942.0,4549,Real Estate
TWO,Two Harbors Investment Corp,10.94,1149172477.0,3118562,Real Estate
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,23.905,1131717395.0,1001,Real Estate
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,23.71,1122485648.0,6699,Real Estate
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,23.44,1109703231.0,406,Real Estate
PRSU,Pursuit Attractions and Hospitality Inc. Common Stock,39.51,1107047403.0,272003,Real Estate
JBGS,JBG SMITH Properties Common Shares ,14.52,1095336325.0,991079,Real Estate
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value,7.21,1095325442.0,3608778,Real Estate
CIM,Chimera Investment Corporation Common Stock,12.93,1078394661.0,948668,Real Estate
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,22.25,1077055594.0,5194,Real Estate
BV,BrightView Holdings Inc. Common Stock,11.38,1071996000.0,489079,Real Estate
APEI,American Public Education Inc. Common Stock,57.19,1051177306.0,236148,Real Estate
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,11.78,1025055595.0,1093906,Real Estate
DEA,Easterly Government Properties Inc. Common Stock,21.95,1017386978.0,337936,Real Estate
CSR,D/B/A Centerspace Common Stock,60.18,1010175402.0,148322,Real Estate
SAFE,Safehold Inc. New Common Stock ,13.74,986881298.0,340547,Real Estate
MFA,MFA Financial Inc.,9.64,984184830.0,1427544,Real Estate
